Purchase_Date,Age,Maintenance_Cost,Downtime,Maintenance_Frequency,Failure_Event_Count,Maintenance_Class,Device_Type_Defibrillator,Device_Type_Infusion Pump,Device_Type_MRI Scanner,Device_Type_PET Scanner,Device_Type_X-Ray Machine,Manufacturer_ImagingTech,Manufacturer_MedEquip,Manufacturer_RescueTech,Manufacturer_ScanPro,Manufacturer_UltraMed,Model_Model-150,Model_Model-200,Model_Model-250,Model_Model-300,Model_Model-350,Model_Model-400,Model_Model-450,Model_Model-500,Model_Model-550,Model_Model-600,Model_Model-650,Country_France,Country_Italy,Country_Japan,Country_UK,Country_USA,abnormal,after,battery,caused,check,circuit,completed,component,crash,critical,data,degraded,delay,detecting,diagnostics,driver,due,during,failure,firmware,fix,functionality,initiated,inspection,issue,lag,log,minor,misalignment,mitigation,moderate,observed,operational,overheating,performance,quick,replacement,reset,restored,routine,sensor,software,sound,spike,system,to,update,via,voltage,wear
2018-04-23,0.08888708119564344,-0.25774373552349794,-0.37860303711566845,-0.008307834112885203,-1.3854225877166262,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.0,0.316756235306414,0.0,0.0,0.0,0.0,0.0,0.5054060522563123,0.0,0.0,0.0,0.0,0.0,0.316756235306414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.316756235306414,0.0,0.0,0.0,0.0,0.41837822843346956,0.0,0.0,0.0,0.0,0.0,0.0,0.410105266844492,0.0,0.0,0.0,0.0,0.316756235306414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-10,-0.5409890928107175,-0.22815670719211806,-0.39200185721367115,-0.008307834112885203,1.4451170239718052,2,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,0.0,0.0,0.3632524190188132,0.2793536447039736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24357376036906947,0.0,0.0,0.3708122364825222,0.0,0.0,0.0,0.0,0.0,0.0,0.2793536447039736,0.3134495878870651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2793536447039736,0.0,0.0,0.0,0.34408151407402054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29750186518110994,0.0,0.0,0.3632524190188132
2023-11-22,-1.485803353820259,-0.5073215675068956,0.4634276996624588,-1.41521410898477,0.029847218127589486,3,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,0.0,0.0,0.0,0.3003902988349451,0.0,0.0,0.0,0.24457390620932454,0.0,0.0,0.6686886292061637,0.0,0.2619160195427203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3003902988349451,0.0,0.0,0.3920919858609059,0.0,0.0,0.0,0.0,0.0,0.0,0.3003902988349451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-03,-0.855927179813898,-0.614275009952109,2.5974415741347787,-0.008307834112885203,-0.6777876847945185,3,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,0.0,0.0,0.40617928871479436,0.0,0.29711355257245975,0.0,0.3118653839604852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3118653839604852,0.0,0.0,0.3118653839604852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3118653839604852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2976729216570333,0.32266246849756425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40617928871479436
2019-05-16,-0.22605100580753704,-0.1835728262797431,0.46783837809548795,0.6951453033230572,1.4451170239718052,2,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.0,0.2644541548411059,0.0,0.0,0.0,0.0,0.0,0.21097726816921236,0.0,0.0,0.0,0.0,0.22593712939099472,0.2644541548411059,0.0,0.34396255215245547,0.0,0.0,0.0,0.0,0.0,0.2644541548411059,0.0,0.29075340458958143,0.0,0.0,0.0,0.0,0.0,0.0,0.33844604074601264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2644541548411059,0.0,0.0,0.0,0.0,0.33996275525315833,0.0,0.0,0.27596042080082084,0.0,0.33996275525315833,0.0
2019-06-19,-0.22605100580753704,0.42959427104856845,-1.0261724486285753,0.6951453033230572,0.7374821210496973,2,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,0.0,0.0,0.0,0.3212422052194573,0.0,0.0,0.0,0.0,0.38147119045126876,0.0,0.0,0.0,0.28009719363952346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3212422052194573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3212422052194573,0.0,0.3026038956082154,0.0,0.0,0.0,0.0,0.0,0.0,0.6122634335732519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-20,1.6635775162115458,-0.6968902803442402,0.6406955709545668,-1.41521410898477,0.029847218127589486,2,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,0.0,0.3072979554386218,0.0,0.0,0.0,0.0,0.0,0.4903147253736954,0.0,0.0,0.0,0.0,0.0,0.3072979554386218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3072979554386218,0.0,0.3378579051665132,0.3307916393428833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3978596029657097,0.0,0.0,0.0,0.0,0.3072979554386218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-02,-1.485803353820259,0.8385606323072491,0.6730639027810011,-1.41521410898477,0.029847218127589486,3,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,0.0,0.281789885761335,0.0,0.0,0.0,0.0,0.0,0.22480743526741512,0.32788050859579504,0.0,0.3073225963763707,0.0,0.0,0.281789885761335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.281789885761335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3400896793091258,0.0,0.281789885761335,0.0,0.0,0.0,0.0,0.3622482922359654,0.227547822644077,0.0,0.0,0.0,0.3622482922359654,0.0
2023-09-22,-1.485803353820259,-0.3933669137867567,-1.3235980737724329,-0.7117609715488276,-1.3854225877166262,1,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.0,0.0,0.32060605635092704,0.0,0.23451812296996769,0.0,0.24616206104527802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24616206104527802,0.0,0.0,0.24616206104527802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6647072192146316,0.0,0.0,0.0,0.0,0.24616206104527802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23495964502988662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32060605635092704
2023-10-14,-1.485803353820259,1.3451181268897263,2.1173220714334176,-0.008307834112885203,-1.3854225877166262,3,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.26645581049055306,0.0,0.0,0.0,0.0,0.0,0.21257415682838116,0.0,0.28910174245015235,0.0,0.0,0.0,0.26645581049055306,0.0,0.0,0.0,0.0,0.260564922735934,0.3486378420617075,0.0,0.26645581049055306,0.0,0.29295411947433114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26645581049055306,0.0,0.0,0.0,0.0,0.34253593611342115,0.0,0.0,0.2780491674709258,0.0,0.34253593611342115,0.0
